David Lee,15.4,20.2,.116,.191,0.4,3.8,0.7,2.5,2005
LaMarcus Aldridge,17.1,18.5,.118,.113,-0.9,0.8,0.4,1.8,2006
Adam Morrison,7.9,5.7,-0.030,.001,-5.5,-5.5,-2.0,-0.6,2006
Tyrus Thomas,14.8,14.6,.110,.088,0.1,-0.7,0.5,0.5,2006
Shelden Williams,12.3,11.9,.070,.072,-3.6,-5.0,-0.6,-0.6,2006
Brandon Roy,18.0,19.4,.114,.138,2.1,3.5,2.1,3.9,2006
Randy Foye,14.0,12.7,.058,.042,-1.6,-1.4,0.2,0.2,2006
Rudy Gay,12.4,17.4,.011,.080,-2.5,0.8,-0.3,2.1,2006
Patrick O'Bryant,7.3,14.0,-0.003,.105,-4.1,-1.0,-0.1,0.0,2006
J.J. Redick,13.0,12.7,.134,.091,-1.4,-4.3,0.1,-0.2,2006
Hilton Armstrong,12.2,7.7,.091,.032,-2.6,-3.3,-0.1,-0.2,2006
Ronnie Brewer,15.2,18.4,.124,.178,-0.2,3.9,0.3,3.1,2006
Cedric Simmons,8.0,0.0,.025,-0.134,-4.2,-12.6,-0.3,-0.2,2006
Rodney Carney,11.4,12.1,.055,.075,-3.4,-2.6,-0.4,-0.2,2006
Shawne Williams,9.7,12.8,.063,.069,-3.1,-2.3,-0.2,-0.1,2006
Quincy Douby,9.0,9.7,-0.006,.000,-5.1,-5.4,-0.3,-0.8,2006
Renaldo Balkman,16.1,11.5,.125,.065,1.4,-0.6,0.9,0.3,2006
Rajon Rondo,13.1,15.6,.064,.150,0.4,2.6,1.1,2.7,2006
Marcus Williams,11.5,11.0,-0.004,.009,-4.8,-3.9,-0.9,-0.4,2006
Josh Boone,14.6,14.8,.122,.100,-4.4,-1.2,-0.4,0.3,2006
Kyle Lowry,18.3,14.3,.148,.078,3.3,-0.6,0.2,0.8,2006
Shannon Brown,7.5,6.3,.015,-0.102,-5.1,-9.6,-0.2,-0.5,2006
Jordan Farmar,10.8,15.4,.038,.111,-2.9,0.7,-0.3,1.2,2006
Maurice Ager,2.9,1.8,-0.060,-0.114,-9.3,-11.3,-0.4,-0.4,2006
Mardy Collins,9.2,5.9,.002,-0.079,-3.7,-6.2,-0.3,-0.7,2006
Greg Oden,18.1,23.1,.167,.214,0.8,4.1,0.9,0.8,2007
Kevin Durant,15.8,20.8,.040,.132,-1.4,1.8,0.4,2.8,2007
Al Horford,14.7,17.0,.103,.145,-0.2,2.3,1.2,2.5,2007
Mike Conley,12.6,14.3,.038,.086,-3.0,-0.2,-0.3,1.1,2007
Jeff Green,9.8,13.9,.003,.070,-3.2,-0.8,-0.7,0.8,2007
Corey Brewer,8.3,11.2,-0.005,.052,-3.2,-0.8,-0.5,0.1,2007
Brandan Wright,17.2,18.7,.142,.131,-2.4,-1.2,0.0,0.1,2007
Joakim Noah,15.5,16.5,.120,.159,1.6,3.4,1.4,2.6,2007
Spencer Hawes,11.6,13.0,.033,.016,-4.4,-2.1,-0.6,-0.1,2007
Acie Law,7.7,10.6,-0.007,.062,-6.7,-5.0,-1.0,-0.4,2007
Thaddeus Young,16.5,15.3,.140,.102,0.6,0.5,1.0,1.7,2007
Julian Wright,15.4,12.6,.126,.048,0.6,-2.1,0.4,0.0,2007
Al Thornton,12.7,12.6,.025,.023,-3.8,-3.5,-1.0,-1.0,2007
Rodney Stuckey,13.8,14.8,.090,.073,-1.1,-0.5,0.3,1.0,2007
Nick Young,11.6,13.1,.017,.030,-5.6,-4.9,-1.1,-1.3,2007
Sean Williams,13.9,8.8,.093,.036,-1.6,-2.4,0.1,0.0,2007
Javaris Crittenton,11.0,11.0,.004,.013,-5.4,-5.5,-0.6,-0.2,2007
Jason Smith,10.7,10.6,.067,.048,-3.8,-2.3,-0.5,0.0,2007
Daequan Cook,7.9,10.3,-0.013,.056,-5.1,-3.0,-1.1,-0.5,2007
Jared Dudley,13.6,13.5,.100,.114,-0.3,0.8,0.6,0.8,2007
Wilson Chandler,11.7,12.9,.038,.054,-3.5,-0.9,-0.3,0.8,2007
Morris Almond,2.0,7.3,-0.081,.010,-11.0,-6.8,-0.1,-0.3,2007
Aaron Brooks,13.1,12.9,.112,.086,-1.8,-1.3,0.0,0.4,2007
Arron Afflalo,10.2,8.9,.092,.069,-1.6,-2.4,0.1,-0.1,2007
Alando Tucker,11.8,13.0,.042,.039,-11.8,-5.8,-0.1,-0.3,2007
Derrick Rose,16.0,18.6,.078,.100,-0.6,0.5,1.1,1.8,2008
