7,Commonwealth Towers,Partially Furnished Condominium,1076 sqft ,230 Commonwealth Avenue, Ready to move,3,3,"S$ 4,500 /mo",EW19 Queenstown MRT Station,0.24 km
8,Commonwealth Towers,Partially Furnished Condominium,1302 sqft ,232 Commonwealth Avenue, Ready to move,4,4,"S$ 5,200 /mo",EW19 Queenstown MRT Station,0.12 km
9,Commonwealth Towers,Partially Furnished Condominium,700 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,600 /mo",EW19 Queenstown MRT Station,0.12 km
10,Commonwealth Towers,Unfurnished Condominium,474 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,400 /mo",EW19 Queenstown MRT Station,0.11 km
11,Queens,Fully Furnished Condominium,1195 sqft ,10 Stirling Road, Ready to move,3,3,"S$ 4,800 /mo",EW19 Queenstown MRT Station,0.17 km
12,Commonwealth Towers,Partially Furnished Condominium,689 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.03 km
13,Commonwealth Towers,Partially Furnished Condominium,689 sqft ,230 Commonwealth Avenue, Ready to move,2,2,"S$ 3,600 /mo",EW19 Queenstown MRT Station,0.24 km
14,Black N White Single Storey Bungalow Swettenham Road,Partially Furnished Bungalow House,"2711 sqft, 7862 sqft (land) ",Swettenham Road, Ready to move,3,4,"S$ 8,900 /mo",EW19 Queenstown MRT Station,0.95 km
15,Commonwealth Towers,Fully Furnished Condominium,441 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,500 /mo",EW19 Queenstown MRT Station,0.11 km
16,Commonwealth Towers,Partially Furnished Condominium,1076 sqft ,commonwealth Avenue, Ready to move,3,2,"S$ 4,200 /mo",EW19 Queenstown MRT Station,0.11 km
17,Commonwealth Towers,Partially Furnished Condominium,797 sqft ,commonwealth Avenue, Ready to move,2,2,"S$ 3,490 /mo",EW19 Queenstown MRT Station,0.11 km
18,Commonwealth Towers,Fully Furnished Condominium,452 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,480 /mo",EW19 Queenstown MRT Station,0.11 km
19,The Anchorage,Fully Furnished Condominium,900 sqft ,370H Alexandra Road, S$ 3.33 psf,1,1,"S$ 3,000 /mo",EW19 Queenstown MRT Station,0.61 km
