12,The Waterina,Partially Furnished Apartment,1044 sqft ,51 Lorong 40 Geylang, Ready to move,2,2,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.90 km
13,Le Regal,Apartment,689 sqft ,340 Geylang Road, Ready to move,1,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.53 km
14,53 Sims Place,HDB Apartment,732 sqft ,53 Sims Place, Ready to move,2,2,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.35 km
15,The Water Edge @ Geylang,Fully Furnished Condominium,388 sqft ,8 Lorong 38 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.72 km
16,Wing Fong Mansions,Partially Furnished Apartment,990 sqft ,12 Lorong 14 Geylang, Ready to move,3,2,"S$ 2,999 /mo",EW9 Aljunied MRT Station,0.78 km
17,#1 Loft,Partially Furnished Apartment,571 sqft ,1 Lorong 24 Geylang, Ready to move,1,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.39 km
18,Grandview Suites @ Geylang,Partially Furnished Condominium,915 sqft ,1 Geylang Lorong 22, Ready to move,1,2,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.41 km
19,Sims Urban Oasis,Partially Furnished Condominium,950 sqft ,Sims Drive, Ready to move,3,2,"S$ 4,000 /mo",EW9 Aljunied MRT Station,0.32 km
0,54 Cassia Crescent,Fully Furnished HDB Apartment,1000 sqft ,54 Cassia Crescent, Available from 20 May,3,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.74 km
1,Sims Urban Oasis,Partially Furnished Condominium,667 sqft ,10 Sims Drive, Available from 16 May,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
2,Sims Urban Oasis,Partially Furnished Condominium,658 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.32 km
3,Sims Urban Oasis,Partially Furnished Condominium,441 sqft ,2 Sims Drive, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.32 km
4,Melosa,Fully Furnished Condominium,506 sqft ,28 Lorong 28 Geylang, Available from 7 May,2,1,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.52 km
5,Sims Urban Oasis,Fully Furnished Condominium,1022 sqft ,Sims Drive, Ready to move,3,2,"S$ 3,800 /mo",EW9 Aljunied MRT Station,0.32 km
6,La Brisa,Partially Furnished Condominium,527 sqft ,50 Lorong 28 Geylang, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.59 km
7,Paya Lebar Residences,Fully Furnished Apartment,300 sqft ,27 Paya Lebar Road, Ready to move,Room,0,"S$ 1,200 /mo",EW9 Aljunied MRT Station,0.97 km
8,28 Imperial Residences,Partially Furnished Condominium,538 sqft ,28 Lorong 26 Geylang, Ready to move,2,2,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.56 km
9,Geylang Residential / Shop House,Shophouse,1700 sqft ,11 Lorong 15 Geylang, Ready to move,1,2,"S$ 3,500 /mo",EW9 Aljunied MRT Station,0.64 km
10,53 Pipit Road,Fully Furnished HDB Apartment,1593 sqft ,53 Pipit Road, Ready to move,3,3,"S$ 3,400 /mo",EW9 Aljunied MRT Station,0.93 km
11,Guillemard Suites,Fully Furnished Apartment,300 sqft ,213 Guillemard Road, Ready to move,Studio,0,"S$ 1,500 /mo",EW9 Aljunied MRT Station,0.65 km
12,Blossom Mansions,Partially Furnished Condominium,1033 sqft ,5 Lorong 37 Geylang, Ready to move,2,2,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.77 km
13,Treasures @ G6,Partially Furnished Apartment,450 sqft ,35 Lorong 6 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.98 km
14,Grandlink Square,Fully Furnished Condominium,1389 sqft ,511 Guillemard Road, Ready to move,3,2,"S$ 3,400 /mo",EW9 Aljunied MRT Station,0.99 km
15,Shophouse,Fully Furnished Shophouse,150 sqft ,Lorong 23 Geylang, Ready to move,Room,0,S$ 850 /mo,EW9 Aljunied MRT Station,0.38 km
16,44 Sims Drive,Fully Furnished HDB Apartment,200 sqft ,44 Sims Drive, Ready to move,Room,0,S$ 950 /mo,EW9 Aljunied MRT Station,0.65 km
17,101 Aljunied Crescent,Fully Furnished HDB Apartment,100 sqft ,101 Aljunied Crescent, Ready to move,Room,0,S$ 700 /mo,EW9 Aljunied MRT Station,0.50 km
18,The Sunny Spring,Condominium,500 sqft ,50 Lorong 40 Geylang, Ready to move,Room,0,S$ 850 /mo,EW9 Aljunied MRT Station,0.85 km
19,Idyllic Suites,Fully Furnished Condominium,463 sqft ,21 Lorong 30 Geylang, Available from 11 Apr,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.58 km
0,IR23 - Live In A 1900s House Which Used To Be A Black And White!,Partially Furnished Conservation House,2270 sqft ,"Near By Geylang Rd, Sims Ave", Ready to move,3,3,"S$ 6,300 /mo",EW9 Aljunied MRT Station,0.44 km
