18,Changi Road,Unfurnished Corner Terrace,"3200 sqft, 3624 sqft (land) ",102 Changi Road, Ready to move,4,2,"S$ 3,499 /mo",EW8 Paya Lebar MRT Station,0.92 km
19,"PRICE REDUCED! NOW ONLY $2, 000! BRIGHT | MODERN | DAKOTA MRT | MALLS / SHOPS / EATERIES",Fully Furnished Apartment,600 sqft ,Katong enclave, Ready to move,2,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.82 km
0,"PRICE REDUCED! NOW ONLY $2, 000! BRIGHT | MODERN | DAKOTA MRT | MALLS / SHOPS / EATERIES",Fully Furnished Apartment,600 sqft ,Katong enclave, Ready to move,2,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.82 km
1,Sims Residences,Fully Furnished Apartment,1442 sqft ,8 Lorong 39 Geylang, Ready to move,4,2,"S$ 4,300 /mo",EW8 Paya Lebar MRT Station,0.39 km
2,Lotus At Paya Lebar,Partially Furnished Conservation House,1600 sqft ,11 Paya Lebar Road, Ready to move,2,2,"S$ 4,480 /mo",EW8 Paya Lebar MRT Station,0.20 km
3,Regal 35,Partially Furnished Apartment,1119 sqft ,15 Lorong 35 Geylang, Ready to move,3,2,"S$ 3,000 /mo",EW8 Paya Lebar MRT Station,0.61 km
4,Pu Tian Building,Fully Furnished Apartment,1580 sqft ,387980, Ready to move,3,3,"S$ 3,500 /mo",EW8 Paya Lebar MRT Station,0.69 km
5,Lotus At Paya Lebar,Partially Furnished Condominium,1313 sqft ,11 Paya Lebar Road, Ready to move,4,2,"S$ 4,600 /mo",EW8 Paya Lebar MRT Station,0.20 km
6,Lotus At Paya Lebar,Partially Furnished Condominium,1001 sqft ,11 Paya Lebar Road, Ready to move,3,2,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.20 km
7,Lotus At Paya Lebar,Partially Furnished Conservation House,2500 sqft ,11 Paya Lebar Road, Ready to move,3,2,"S$ 5,750 /mo",EW8 Paya Lebar MRT Station,0.20 km
8,Lotus At Paya Lebar,Partially Furnished Condominium,893 sqft ,11 Paya Lebar Road, Ready to move,2,2,"S$ 3,390 /mo",EW8 Paya Lebar MRT Station,0.20 km
9,Aston Mansions,Fully Furnished Apartment,1227 sqft ,3 Lorong 42 Geylang, Ready to move,2,2,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.55 km
10,38 I Suites,Partially Furnished Condominium,667 sqft ,38 Ipoh Lane, Ready to move,2,2,"S$ 2,600 /mo",EW8 Paya Lebar MRT Station,0.79 km
11,IR14 - On A Little Street In Heritage Singapore,Unfurnished Conservation House,866 sqft ,"Near By Joo Chiat Terrace, Tembeling Rd", Ready to move,3,2,"S$ 6,000 /mo",EW8 Paya Lebar MRT Station,0.83 km
12,Lotus At Paya Lebar,Partially Furnished Condominium,286 sqft ,11 Paya Lebar Road, Ready to move,Studio,0,"S$ 2,060 /mo",EW8 Paya Lebar MRT Station,0.20 km
13,IR23 - Live In A 1900s House Which Used To Be A Black And White!,Partially Furnished Conservation House,2270 sqft ,"Near By Geylang Rd, Sims Ave", Ready to move,3,3,"S$ 6,300 /mo",EW8 Paya Lebar MRT Station,0.84 km
