17,LIV On Sophia,Partially Furnished Apartment,170 sqft ,14 Adis Road, Ready to move,Studio,0,"S$ 1,550 /mo",EW12 Bugis MRT Station,0.87 km
18,CITYVALE,Fully Furnished Condominium,1500 sqft ,70 Sophia Road, Ready to move,3,2,"S$ 4,700 /mo",EW12 Bugis MRT Station,0.90 km
19,Burlington Square,Fully Furnished Condominium,936 sqft ,175B Bencoolen Street, Ready to move,2,2,"S$ 3,800 /mo",EW12 Bugis MRT Station,0.41 km
0,DUO Residences,Partially Furnished Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 8,000 /mo",EW12 Bugis MRT Station,0.28 km
1,DUO Residences,Apartment,753 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,288 /mo",EW12 Bugis MRT Station,0.28 km
2,DUO Residences,Partially Furnished Apartment,646 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,600 /mo",EW12 Bugis MRT Station,0.28 km
3,Parc Sophia,Fully Furnished Condominium,732 sqft ,8 Adis Road, Available from 31 May,2,1,"S$ 3,000 /mo",EW12 Bugis MRT Station,0.96 km
4,Concourse Skyline,Partially Furnished Condominium,786 sqft ,300 Beach Road, Ready to move,1,1,"S$ 3,700 /mo",EW12 Bugis MRT Station,0.65 km
5,Sophia Residence,Partially Furnished Condominium,614 sqft ,9 Sophia Road, S$ 5.70 psf,1,1,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.74 km
6,264 Waterloo Street,Fully Furnished HDB Apartment,732 sqft ,264 Waterloo Street, Ready to move,2,1,"S$ 2,400 /mo",EW12 Bugis MRT Station,0.46 km
7,DUO Residences,Partially Furnished Apartment,3777 sqft ,1 Fraser Street, Ready to move,5,5,"S$ 30,000 /mo",EW12 Bugis MRT Station,0.28 km
8,Sunshine Plaza,Partially Furnished Apartment,1130 sqft ,10 Prinsep Link, Available from 20 Jun,3,3,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.63 km
9,The Bencoolen,Fully Furnished Apartment,900 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.31 km
