3,91 Dawson Road,HDB Apartment,120 sqft ,91 Dawson Road, Ready to move,1,1,S$ 950 /mo,EW18 Redhill MRT Station,0.79 km
4,Tanglin View,Fully Furnished Condominium,1163 sqft ,150 Prince Charles Crescent, Available from 1 May,3,3,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.28 km
5,56 Strathmore Avenue,Fully Furnished HDB Apartment,1184 sqft ,56 Strathmore Avenue, S$ 2.36 psf,3,2,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.87 km
6,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,2,"S$ 8,900 /mo",EW18 Redhill MRT Station,0.95 km
7,Alex Residences,Partially Furnished Apartment,883 sqft ,Alexandra View, Ready to move,3,2,"S$ 3,600 /mo",EW18 Redhill MRT Station,0.06 km
8,Tanglin Regency,Partially Furnished Condominium,850 sqft ,381 Tanglin Road, Ready to move,2,2,"S$ 3,100 /mo",EW18 Redhill MRT Station,0.25 km
9,161 Bukit Merah Central,Fully Furnished HDB Apartment,721 sqft ,161 Bukit Merah Central, Ready to move,2,2,"S$ 2,100 /mo",EW18 Redhill MRT Station,0.63 km
10,75C Redhill Road,HDB Apartment,1237 sqft ,75C Redhill Road, Ready to move,3,2,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.08 km
11,Alex Residences,Partially Furnished Condominium,926 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.06 km
12,Alex Residences,Partially Furnished Apartment,883 sqft ,Alexandra View, Ready to move,3,2,"S$ 3,700 /mo",EW18 Redhill MRT Station,0.06 km
13,76A Redhill Road,Fully Furnished HDB Apartment,1184 sqft ,76A Redhill Road, Available from 1 Jun,3,2,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.09 km
14,The Metropolitan Condominium,Fully Furnished Condominium,1399 sqft ,8 Alexandra View, Available from 25 May,3,3,"S$ 5,000 /mo",EW18 Redhill MRT Station,0.12 km
15,Alex Residences,Partially Furnished Apartment,1044 sqft ,Alexandra View, Ready to move,3,3,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.06 km
16,Tanglin View,Condominium,1152 sqft ,150 Prince Charles Crescent, Ready to move,3,2,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.28 km
17,87 Redhill Close,Fully Furnished HDB Apartment,150 sqft ,87 Redhill Close, S$ 4.67 psf,Room,0,S$ 700 /mo,EW18 Redhill MRT Station,0.48 km
18,161 Bukit Merah Central,Fully Furnished HDB Apartment,150 sqft ,161 Bukit Merah Central, S$ 6.00 psf,Room,0,S$ 900 /mo,EW18 Redhill MRT Station,0.63 km
19,Jervois Mansions,Partially Furnished Condominium,2600 sqft ,19 Jervois Road, Ready to move,3,4,"S$ 7,950 /mo",EW18 Redhill MRT Station,0.95 km
0,The Metropolitan Condominium,Partially Furnished Condominium,1744 sqft ,8 Alexandra View, Ready to move,4,3,"S$ 6,900 /mo",EW18 Redhill MRT Station,0.12 km
1,One Jervois,Partially Furnished Condominium,1841 sqft ,7 Jervois Close, Available from 16 Apr,4,4,"S$ 7,200 /mo",EW18 Redhill MRT Station,0.97 km
2,Ascentia Sky,Partially Furnished Apartment,947 sqft ,1 Alexandra View, Ready to move,2,2,"S$ 4,600 /mo",EW18 Redhill MRT Station,0.23 km
3,One Jervois,Partially Furnished Condominium,1841 sqft ,7 Jervois Close, Ready to move,4,4,"S$ 6,900 /mo",EW18 Redhill MRT Station,0.97 km
4,Ascentia Sky,Partially Furnished Apartment,1819 sqft ,1 Alexandra View, Ready to move,4,3,"S$ 7,400 /mo",EW18 Redhill MRT Station,0.23 km
5,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 9,000 /mo",EW18 Redhill MRT Station,0.95 km
6,One Jervois,Partially Furnished Condominium,1841 sqft ,7 Jervois Close, Available from 16 Apr,4,4,"S$ 7,200 /mo",EW18 Redhill MRT Station,0.97 km
7,One Jervois,Condominium,1840 sqft ,7 Jervois Close, Available from 14 Apr,4,4,"S$ 6,800 /mo",EW18 Redhill MRT Station,0.97 km
